	(1)	(2)	(3)	(4)
	Col1	Col3	Col5	Col7
VARIABLES	LWKLYWGE	LWKLYWGE	LWKLYWGE	LWKLYWGE
				
EDUC	0.0573***	0.0576***	0.0546***	0.0552***
	(0.000298)	(0.000294)	(0.000299)	(0.000295)
YR20	0.251***	0.228***	0.248***	0.227***
	(0.00408)	(0.00404)	(0.00406)	(0.00402)
YR21	0.243***	0.220***	0.239***	0.218***
	(0.00408)	(0.00403)	(0.00406)	(0.00402)
YR22	0.231***	0.209***	0.227***	0.207***
	(0.00389)	(0.00385)	(0.00387)	(0.00383)
YR23	0.219***	0.198***	0.215***	0.195***
	(0.00386)	(0.00382)	(0.00384)	(0.00380)
YR24	0.182***	0.165***	0.179***	0.163***
	(0.00391)	(0.00386)	(0.00389)	(0.00385)
YR25	0.154***	0.139***	0.152***	0.138***
	(0.00390)	(0.00386)	(0.00388)	(0.00384)
YR26	0.121***	0.108***	0.118***	0.106***
	(0.00370)	(0.00366)	(0.00368)	(0.00364)
YR27	0.0851***	0.0753***	0.0821***	0.0732***
	(0.00360)	(0.00355)	(0.00358)	(0.00354)
YR28	0.0403***	0.0352***	0.0393***	0.0346***
	(0.00364)	(0.00360)	(0.00362)	(0.00358)
1.MARRIED		0.245***		
		(0.00221)		
_IRACE_1			-0.242***	-0.211***
			(0.00324)	(0.00322)
_IMARRIED_1				0.232***
				(0.00221)
Constant	4.879***	4.692***	4.938***	4.753***
	(0.00484)	(0.00507)	(0.00488)	(0.00514)
				
Observations	486,926	486,926	486,926	486,926
R-squared	0.083	0.105	0.093	0.113
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
